origin,policy,Q,rotation,window,n32,mean,SE
i20_new,ew999/r0p9/rec99,0,0.78539816339744828,whole,32,0.22528818100471093,0.0028930483534559711
i20_new,ew999/r0p9/rec9,0,0.78539816339744828,whole,32,0.27122267515374332,0.0031207821369980851
i20_new,ew999/rstar/cp,0,0.78539816339744828,whole,32,0.64363080802407424,0.0040037807287421302
i20_new,ew999/rstar/rec99,0,0.78539816339744828,whole,32,0.64004391702691721,0.0042038651061846316
i20_new,ew999/rstar/rec9,0,0.78539816339744828,whole,32,0.68604226132182355,0.0041839533089908128
i20_new,oracle_useful/r0p9/cp,0,0.78539816339744828,whole,32,0.11740268593813155,0.014443190435699714
i20_new,oracle_useful/r0p9/rec99,0,0.78539816339744828,whole,32,0.11740268593813175,0.014443190435699806
i20_new,oracle_useful/r0p9/rec9,0,0.78539816339744828,whole,32,0.27122267515374332,0.0031207821369980851
i20_new,oracle_useful/rstar/cp,0,0.78539816339744828,whole,32,0.22042298069548247,0.014492594117124924
i20_new,oracle_useful/rstar/rec99,0,0.78539816339744828,whole,32,0.22042298069548247,0.01449259411712492
i20_new,oracle_useful/rstar/rec9,0,0.78539816339744828,whole,32,0.37424296991109418,0.0031512013292694196
i20_new,oracle_nuisance/r0p9/cp,0,0.78539816339744828,whole,32,0.23731904017412914,0.0044623051468830402
i20_new,oracle_nuisance/r0p9/rec99,0,0.78539816339744828,whole,32,0.23731904017412933,0.0044623051468830558
i20_new,oracle_nuisance/r0p9/rec9,0,0.78539816339744828,whole,32,0.27122267515374332,0.0031207821369980851
i20_new,oracle_nuisance/rstar/cp,0,0.78539816339744828,whole,32,0.65356684903782936,0.0054299912872123549
i20_new,oracle_nuisance/rstar/rec99,0,0.78539816339744828,whole,32,0.65356684903782936,0.0054299912872123549
i20_new,oracle_nuisance/rstar/rec9,0,0.78539816339744828,whole,32,0.68747048401744337,0.0042685593033507524
i20_new,native/r0p9/cp,0,0.78539816339744828,startup,32,0.65396685779592434,0.089324635568016286
i20_new,native/r0p9/rec99,0,0.78539816339744828,startup,32,0.68455295394471616,0.095179023244349251
i20_new,native/r0p9/rec9,0,0.78539816339744828,startup,32,0.48029515802742484,0.06146866717670451
i20_new,native/rstar/cp,0,0.78539816339744828,startup,32,0.84324853227900254,0.081879303954381893
i20_new,native/rstar/rec99,0,0.78539816339744828,startup,32,0.88594205756603273,0.089192106159671408
i20_new,native/rstar/rec9,0,0.78539816339744828,startup,32,0.66818028927569251,0.037958361530668519
i20_new,full_legacy/r0p9/cp,0,0.78539816339744828,startup,32,0.65562364486820301,0.086708292778020252
i20_new,full_legacy/r0p9/rec99,0,0.78539816339744828,startup,32,0.67752066652294018,0.093324493046112886
i20_new,full_legacy/r0p9/rec9,0,0.78539816339744828,startup,32,0.48029515802742484,0.06146866717670451
i20_new,full_legacy/rstar/cp,0,0.78539816339744828,startup,32,0.85355904208012379,0.079072766010057194
i20_new,full_legacy/rstar/rec99,0,0.78539816339744828,startup,32,0.90479586796811784,0.091524576641196953
i20_new,full_legacy/rstar/rec9,0,0.78539816339744828,startup,32,0.6762702640495738,0.037824482385317409
i20_new,ew99/r0p9/cp,0,0.78539816339744828,startup,32,0.62017789747540264,0.063601528622117667
i20_new,ew99/r0p9/rec99,0,0.78539816339744828,startup,32,0.51427523373035933,0.061549286691784763
i20_new,ew99/r0p9/rec9,0,0.78539816339744828,startup,32,0.48029515802742484,0.06146866717670451
i20_new,ew99/rstar/cp,0,0.78539816339744828,startup,32,0.87945532236994173,0.046588108171909969
i20_new,ew99/rstar/rec99,0,0.78539816339744828,startup,32,0.76630971367585254,0.039685746012855662
i20_new,ew99/rstar/rec9,0,0.78539816339744828,startup,32,0.73547033201473244,0.034268842573679237
i20_new,ew999/r0p9/cp,0,0.78539816339744828,startup,32,0.61554595104174026,0.063445764537932423
i20_new,ew999/r0p9/rec99,0,0.78539816339744828,startup,32,0.51722400822963555,0.061668233935014943
i20_new,ew999/r0p9/rec9,0,0.78539816339744828,startup,32,0.48029515802742484,0.06146866717670451
i20_new,ew999/rstar/cp,0,0.78539816339744828,startup,32,0.87290215206913679,0.046805341554800275
i20_new,ew999/rstar/rec99,0,0.78539816339744828,startup,32,0.76584264402307423,0.040490246330230295
i20_new,ew999/rstar/rec9,0,0.78539816339744828,startup,32,0.73306458567353328,0.034435890532228987
i20_new,oracle_useful/r0p9/cp,0,0.78539816339744828,startup,32,1.6275362094323829,0.5083857670544949
i20_new,oracle_useful/r0p9/rec99,0,0.78539816339744828,startup,32,1.6275362094323893,0.50838576705449723
i20_new,oracle_useful/r0p9/rec9,0,0.78539816339744828,startup,32,0.48029515802742484,0.06146866717670451
i20_new,oracle_useful/rstar/cp,0,0.78539816339744828,startup,32,1.6860701282749881,0.50922756779592093
i20_new,oracle_useful/rstar/rec99,0,0.78539816339744828,startup,32,1.6860701282749879,0.50922756779592082
i20_new,oracle_useful/rstar/rec9,0,0.78539816339744828,startup,32,0.53882907687002968,0.061699919312038463
i20_new,oracle_nuisance/r0p9/cp,0,0.78539816339744828,startup,32,0.92884108921025565,0.11909786656054039
i20_new,oracle_nuisance/r0p9/rec99,0,0.78539816339744828,startup,32,0.92884108921025799,0.1190978665605408
i20_new,oracle_nuisance/r0p9/rec9,0,0.78539816339744828,startup,32,0.48029515802742484,0.06146866717670451
i20_new,oracle_nuisance/rstar/cp,0,0.78539816339744828,startup,32,1.2343301697575741,0.1133941942832179
i20_new,oracle_nuisance/rstar/rec99,0,0.78539816339744828,startup,32,1.2343301697575741,0.11339419428321791
i20_new,oracle_nuisance/rstar/rec9,0,0.78539816339744828,startup,32,0.78578423857474311,0.035102010568350425
i20_new,native/r0p9/cp,0,0.78539816339744828,transition,32,0.21924205002719493,0.0043887128194797578
i20_new,native/r0p9/rec99,0,0.78539816339744828,transition,32,0.22062375246135443,0.0042729549505378644
i20_new,native/r0p9/rec9,0,0.78539816339744828,transition,32,0.2695903855835905,0.005343297299801879
i20_new,native/rstar/cp,0,0.78539816339744828,transition,32,0.62875034359318949,0.0076763634757144282
i20_new,native/rstar/rec99,0,0.78539816339744828,transition,32,0.63113983690813846,0.0075540098514163007
i20_new,native/rstar/rec9,0,0.78539816339744828,transition,32,0.67896742350689543,0.007588614400115665
i20_new,full_legacy/r0p9/cp,0,0.78539816339744828,transition,32,0.22389882457495444,0.0052182829218782407
i20_new,full_legacy/r0p9/rec99,0,0.78539816339744828,transition,32,0.22453655177639761,0.0049660634190810751
i20_new,full_legacy/r0p9/rec9,0,0.78539816339744828,transition,32,0.2695903855835905,0.005343297299801879
i20_new,full_legacy/rstar/cp,0,0.78539816339744828,transition,32,0.64113855850489521,0.0080632576005905919
i20_new,full_legacy/rstar/rec99,0,0.78539816339744828,transition,32,0.64385854697607503,0.008004778141895012
i20_new,full_legacy/rstar/rec9,0,0.78539816339744828,transition,32,0.68680390010901293,0.0080179791193160585
i20_new,ew99/r0p9/cp,0,0.78539816339744828,transition,32,0.22706378985951076,0.005760879999031277
i20_new,ew99/r0p9/rec99,0,0.78539816339744828,transition,32,0.22264710288415254,0.0052662282011283904
i20_new,ew99/r0p9/rec9,0,0.78539816339744828,transition,32,0.2695903855835905,0.005343297299801879
i20_new,ew99/rstar/cp,0,0.78539816339744828,transition,32,0.64766715123503193,0.0085822084128079085
i20_new,ew99/rstar/rec99,0,0.78539816339744828,transition,32,0.64427853032873617,0.0081875597318956227
i20_new,ew99/rstar/rec9,0,0.78539816339744828,transition,32,0.69029446942711126,0.0082346264307129428
i20_new,ew999/r0p9/cp,0,0.78539816339744828,transition,32,0.22548087652473839,0.0055912992920316264
i20_new,ew999/r0p9/rec99,0,0.78539816339744828,transition,32,0.22130476880355002,0.0051505480329802353
i20_new,ew999/r0p9/rec9,0,0.78539816339744828,transition,32,0.2695903855835905,0.005343297299801879
i20_new,ew999/rstar/cp,0,0.78539816339744828,transition,32,0.64355965732488851,0.0083266540304447259
i20_new,ew999/rstar/rec99,0,0.78539816339744828,transition,32,0.639519757671559,0.0080269328347676184
i20_new,ew999/rstar/rec9,0,0.78539816339744828,transition,32,0.68762961951398616,0.0081719828824271847
i20_new,oracle_useful/r0p9/cp,0,0.78539816339744828,transition,32,0.097794995268960197,0.0077534022982368739
i20_new,oracle_useful/r0p9/rec99,0,0.78539816339744828,transition,32,0.097794995268960544,0.0077534022982370093
