drift,rotation_index,window,policy,mean_mse,seed_standard_error,independent_seeds
0.01,1,startup,scalar_k0p9,0.6227042016591735,0.06219664624476758,32
0.01,1,startup,scalar_k1,0.5520362070434727,0.09042891126936042,32
0.01,1,startup,oracle_useful,2.2726521546157894,0.6875118268325949,32
0.01,1,startup,oracle_nuisance,1.0389447526243596,0.15971180648476285,32
0.01,1,startup,native_i17,0.703005687252038,0.1210132727666429,32
0.01,1,startup,native_cp,0.7066579806614988,0.12199786387500842,32
0.01,1,transition,raw,4.9805196392512485,0.03456548862080982,32
0.01,1,transition,ema_q0p9,0.2720331201504128,0.0054265074753936235,32
0.01,1,transition,ema_q0p99,0.9872584310771906,0.022284507662943334,32
0.01,1,transition,ema_q0p999,21.265186240510328,1.0603282443618982,32
0.01,1,transition,ema_optimal_oracle,0.1598614425383224,0.004664771828126738,32
0.01,1,transition,scalar_k0,0.9872584310771905,0.022284507662943334,32
0.01,1,transition,scalar_k0p5,0.749328301041376,0.008410687618503018,32
0.01,1,transition,scalar_k0p9,0.45420939094737656,0.006127220876913217,32
0.01,1,transition,scalar_k1,0.2720331201504128,0.005426507475393621,32
0.01,1,transition,oracle_useful,0.11659765853282801,0.01165041107496765,32
0.01,1,transition,oracle_nuisance,1.1426938926947754,0.01563340197481761,32
0.01,1,transition,native_i17,1.0637049639148286,0.011302698916720985,32
0.01,1,transition,native_cp,1.0902914035416233,0.011473078484291622,32
0.01,1,late,raw,4.992916351751697,0.020172084980202246,32
0.01,1,late,ema_q0p9,0.27257352990793526,0.002090812252607959,32
0.01,1,late,ema_q0p99,1.0116049655262493,0.005070104202960326,32
0.01,1,late,ema_q0p999,79.15822191735111,0.34474541617286325,32
0.01,1,late,ema_optimal_oracle,0.16273248484102015,0.0018301791136352238,32
0.01,1,late,scalar_k0,1.011604965526249,0.00507010420296035,32
0.01,1,late,scalar_k0p5,0.752027791945578,0.0035171259952168133,32
0.01,1,late,scalar_k0p9,0.4496944697954862,0.0026014126590128794,32
0.01,1,late,scalar_k1,0.27257352990793526,0.0020908122526079533,32
0.01,1,late,oracle_useful,0.08145145576316368,0.0009133562715465455,32
0.01,1,late,oracle_nuisance,1.2027270396710206,0.0051372314478974855,32
0.01,1,late,native_i17,1.1320868452514907,0.005444545559430839,32
0.01,1,late,native_cp,1.1973656651503986,0.005276633345163487,32
0.03,0,startup,raw,4.932579650903242,0.08640357377813143,32
0.03,0,startup,ema_q0p9,0.5982824258255592,0.09119289615453847,32
0.03,0,startup,ema_q0p99,4.121181013104435,0.7760425469434511,32
0.03,0,startup,ema_q0p999,8.379762504556705,1.643854024587193,32
0.03,0,startup,ema_optimal_oracle,0.6329473425530403,0.10658803077704689,32
0.03,0,startup,scalar_k0,4.121181013104435,0.7760425469434511,32
0.03,0,startup,scalar_k0p5,1.5732452304289537,0.21253660832563182,32
0.03,0,startup,scalar_k0p9,0.6637744561670955,0.06356724367707112,32
0.03,0,startup,scalar_k1,0.5982824258255591,0.09119289615453845,32
0.03,0,startup,oracle_useful,2.318898373397875,0.6881021043699537,32
0.03,0,startup,oracle_nuisance,2.400565065532119,0.263769589471091,32
0.03,0,startup,native_i17,1.4549413765053276,0.16618058660033055,32
0.03,0,startup,native_cp,1.4606551039046165,0.16682977681011316,32
0.03,0,transition,raw,4.9805196392512485,0.034565488620809805,32
0.03,0,transition,ema_q0p9,0.33827033575767407,0.005966276614186655,32
0.03,0,transition,ema_q0p99,8.271317626363214,0.05163627263843217,32
0.03,0,transition,ema_q0p999,170.871399868546,2.4188476858971737,32
0.03,0,transition,ema_optimal_oracle,0.32824276134251495,0.006015636750677858,32
0.03,0,transition,scalar_k0,8.271317626363217,0.05163627263843216,32
0.03,0,transition,scalar_k0p5,2.6362771864810974,0.019401733894166454,32
0.03,0,transition,scalar_k0p9,0.6081286530790505,0.007110768134812103,32
0.03,0,transition,scalar_k1,0.33827033575767407,0.005966276614186663,32
0.03,0,transition,oracle_useful,0.18283487414008925,0.012500597485801223,32
0.03,0,transition,oracle_nuisance,8.4267530879808,0.04602720279589366,32
0.03,0,transition,native_i17,1.3632927901819425,0.1432669925133735,32
