process_variance,process_index,rotation_index,window,policy,policy_class,mean_mse,seed_standard_error,independent_seeds
0.0,0,1,startup,scalar_k0p9,scalar_mixture,0.5747380370822311,0.04385635386557167,32
0.0,0,1,startup,scalar_k1,scalar_mixture,0.48029515802742484,0.06146866717670449,32
0.0,0,1,startup,oracle_useful,generating_direction_oracle,1.627536209432383,0.5083857670544949,32
0.0,0,1,startup,oracle_nuisance,generating_direction_oracle,0.9288410892102559,0.11909786656054042,32
0.0,0,1,startup,native_i17,native_learned_direction,0.64867036417577,0.08964857746465914,32
0.0,0,1,startup,native_cp,native_learned_direction,0.6539668577959243,0.08932463556801629,32
0.0,0,1,startup,native_cp_star,native_learned_direction,0.8432485322790025,0.08187930395438188,32
0.0,0,1,startup,oracle_useful_star,generating_direction_oracle,1.6860701282749881,0.509227567795921,32
0.0,0,1,transition,raw,raw,4.998497274609449,0.033784022542425046,32
0.0,0,1,transition,ema_q0p9,fixed_uniform_EMA,0.2695903855835905,0.005343297299801879,32
0.0,0,1,transition,ema_q0p99,fixed_uniform_EMA,0.057393571855962305,0.007328442335496206,32
0.0,0,1,transition,ema_q0p999,fixed_uniform_EMA,1.8032191164113787,0.4415068555065616,32
0.0,0,1,transition,dema_q0p9,signed_uniform_DEMA,0.645510115921388,0.009893511344710976,32
0.0,0,1,transition,dema_q0p99,signed_uniform_DEMA,0.07994714766052194,0.006749219679426624,32
0.0,0,1,transition,dema_q0p999,signed_uniform_DEMA,0.7089503769365376,0.1704553762431542,32
0.0,0,1,transition,common_kalman,model_based_common_control,0.009786149062353224,0.0008997908060851318,32
0.0,0,1,transition,useful_oracle_kalman,generating_direction_oracle,0.009786149062353134,0.0008997908060851345,32
0.0,0,1,transition,scalar_k0,scalar_mixture,0.05739357185596231,0.007328442335496203,32
0.0,0,1,transition,scalar_k0p5,scalar_mixture,0.5066038132659229,0.003876007193019308,32
0.0,0,1,transition,scalar_k0p9,scalar_mixture,0.43847523721677184,0.0058238771390439256,32
0.0,0,1,transition,scalar_k1,scalar_mixture,0.2695903855835905,0.0053432972998018816,32
0.0,0,1,transition,oracle_useful,generating_direction_oracle,0.09779499526896027,0.007753402298236877,32
0.0,0,1,transition,oracle_nuisance,generating_direction_oracle,0.22918896217059248,0.006014686558875596,32
0.0,0,1,transition,native_i17,native_learned_direction,0.21932043823314243,0.00438937053640269,32
0.0,0,1,transition,native_cp,native_learned_direction,0.21924205002719493,0.004388712819479758,32
0.0,0,1,transition,native_cp_star,native_learned_direction,0.6287503435931895,0.007676363475714429,32
0.0,0,1,transition,oracle_useful_star,generating_direction_oracle,0.20173391743046068,0.008128483884192399,32
0.0,0,1,late,raw,raw,5.008882556616911,0.017551022144278332,32
0.0,0,1,late,ema_q0p9,fixed_uniform_EMA,0.26474327926233315,0.0023518050102707445,32
0.0,0,1,late,ema_q0p99,fixed_uniform_EMA,0.024911258367394377,0.0008323685832639291,32
0.0,0,1,late,ema_q0p999,fixed_uniform_EMA,0.11078669469161175,0.026474768645067825,32
0.0,0,1,late,dema_q0p9,signed_uniform_DEMA,0.6363018336169348,0.004689146572240624,32
0.0,0,1,late,dema_q0p99,signed_uniform_DEMA,0.06260108276905822,0.0015786694913290334,32
0.0,0,1,late,dema_q0p999,signed_uniform_DEMA,0.05586557990060796,0.01247103267827347,32
0.0,0,1,late,common_kalman,model_based_common_control,0.0020994590086603837,0.0002977169896902178,32
0.0,0,1,late,useful_oracle_kalman,generating_direction_oracle,0.002099459008660324,0.00029771698969021304,32
0.0,0,1,late,scalar_k0,scalar_mixture,0.024911258367394374,0.0008323685832639291,32
0.0,0,1,late,scalar_k0p5,scalar_mixture,0.5006312635846635,0.002029486820659933,32
0.0,0,1,late,scalar_k0p9,scalar_mixture,0.43378704824360675,0.002883130711323184,32
0.0,0,1,late,scalar_k1,scalar_mixture,0.2647432792623331,0.0023518050102707454,32
0.0,0,1,late,oracle_useful,generating_direction_oracle,0.07294720902240798,0.0011106440788712475,32
0.0,0,1,late,oracle_nuisance,generating_direction_oracle,0.21670732860731956,0.0022520446705224647,32
0.0,0,1,late,native_i17,native_learned_direction,0.2174497937526335,0.0022498257768103214,32
0.0,0,1,late,native_cp,native_learned_direction,0.21741147580349932,0.0022493162934931047,32
0.0,0,1,late,native_cp_star,native_learned_direction,0.6380760267228411,0.004331904177024874,32
0.0,0,1,late,oracle_useful_star,generating_direction_oracle,0.17717479475567216,0.0016262272193152062,32
0.01,1,0,whole,raw,raw,5.003912094344168,0.014483744606845856,32
0.01,1,0,whole,ema_q0p9,fixed_uniform_EMA,0.3136647458606878,0.0032679447226637392,32
0.01,1,0,whole,ema_q0p99,fixed_uniform_EMA,0.5366601003408815,0.01900996758351292,32
