seed,cell,probe,action,B,B_cosine,F,F_cosine,K,J_actual,J_over_zero,U_heldout_ce,heldout_accuracy_change
202609123,clean,majority,native_interleaved,0.06470895726899499,0.3052739078896211,0.04744181733831671,0.2511594590521175,-0.017267139930678275,0.0027192507777024887,0.00032201209580454745,0.0019517549864913608,-0.0011111111111110628
202609123,clean,majority,native_grouped,0.06470895726899499,0.3052739078896211,0.049329648906300504,0.2568430860713616,-0.015379308362694482,0.002744599425809943,0.000347360743912002,0.0019477962672712623,-0.0011111111111110628
202609123,clean,majority,raw,0.06470895726899499,0.3052739078896211,0.06470895726899499,0.3052739078896211,0.0,0.0029511896250573057,0.0005539509431593645,0.002109807015404419,-0.0011111111111110628
202609123,clean,majority,zero,0.06470895726899499,0.3052739078896211,0.0,,-0.06470895726899499,0.002397238681897941,0.0,0.0016231055903199176,-0.0011111111111110628
202609123,clean,rare8,native_interleaved,2.14536527438808,0.4305072232016552,1.876101424111116,0.4224725015816408,-0.2692638502769636,0.020518101937399266,0.03311012865060391,0.0223869632094722,0.0
202609123,clean,rare8,native_grouped,2.14536527438808,0.4305072232016552,2.1281542301547836,0.47132108081998664,-0.017211044233295957,0.02415913966507959,0.03675116637828424,0.025786256673239194,0.0
202609123,clean,rare8,raw,2.14536527438808,0.4305072232016552,2.14536527438808,0.4305072232016552,0.0,0.02408931651207323,0.03668134322527787,0.02570978245498523,0.0
202609123,clean,rare8,zero,2.14536527438808,0.4305072232016552,0.0,,-2.14536527438808,-0.012592026713204644,0.0,-0.010354314163095069,0.0
202609123,diffuse,majority,native_interleaved,-0.10114495024153097,-0.07644848123108212,-0.11026324916589424,-0.08350184387726987,-0.009118298924363269,0.0017846752957319113,-0.0006125633861660299,0.000385783193227629,-0.0006666666666667043
202609123,diffuse,majority,native_grouped,-0.10114495024153097,-0.07644848123108212,-0.11122258414392648,-0.08422749067408715,-0.010077633902395512,0.0017736603616511294,-0.0006235783202468118,0.00038190559443207484,-0.0006666666666667043
202609123,diffuse,majority,raw,-0.10114495024153097,-0.07644848123108212,-0.10114495024153097,-0.07644848123108212,0.0,0.0019304525858098024,-0.0004667860960881388,0.0004977469485349939,-0.0006666666666667043
202609123,diffuse,majority,zero,-0.10114495024153097,-0.07644848123108212,0.0,,0.10114495024153097,0.002397238681897941,0.0,0.0016231055903199176,-0.0011111111111110628
202609123,diffuse,rare8,native_interleaved,5.2769753090143325,0.16965381504281787,5.415137579444193,0.17443301442048995,0.13816227042985968,0.04862882614192968,0.06122085285513433,0.04844517840712648,0.0
202609123,diffuse,rare8,native_grouped,5.2769753090143325,0.16965381504281787,5.278159373242705,0.1700189351482583,0.0011840642283717842,0.046846569879379116,0.059438596592583756,0.046806738237419765,0.0
202609123,diffuse,rare8,raw,5.2769753090143325,0.16965381504281787,5.2769753090143325,0.16965381504281787,0.0,0.04725290977318668,0.05984493648639132,0.04723269534172836,0.0
202609123,diffuse,rare8,zero,5.2769753090143325,0.16965381504281787,0.0,,-5.2769753090143325,-0.012592026713204644,0.0,-0.010354314163095069,0.0
